,Player Name,Age,Team,League,Season,Position,player_id,Score Type,Stoke Score,xG (ST),Non-Penalty Goals (ST),Shots (ST),OBV Shot (ST),Open Play xA (ST),OBV Dribble & Carry (ST),PAdj Pressures (ST),Aerial Wins (ST),Aerial Win % (ST),Average Distance Percentile,Top 5 PSV-99 Percentile,L/R Footedness %,Player Season Minutes,Touches in Box (ST),Running Distance Percentile,Sprinting Distance Percentile,Count HSR Percentile,Count Sprint Percentile,Count Medium Acceleration Percentile,Count High Acceleration Percentile,xG (W),Non-Penalty Goals (W),Shots (W),Open Play xA (W),OBV Pass (W),Successful Dribbles (W),OBV Dribble & Carry (W),player_season_padj_pressures_90 Percentile,Distance (W),Top 5 PSV (W),xG (CAM),Non-Penalty Goals (CAM),Shots (CAM),OBV Pass (CAM),Open Play xA (CAM),Key Passes (CAM),Throughballs (CAM),Successful Dribbles (CAM),OBV Dribble & Carry (CAM),Average Distance (CAM),Top 5 PSV (CAM),xG (8),Non-Penalty Goals (8),OBV Pass (8),Open Play xA (8),Successful Dribbles (8),OBV Dribble & Carry (8),Average Distance (8),Top 5 PSV-99 (8),PAdj Tackles & Interceptions (8),Deep Progressions (8),Average Distance (6),Top 5 PSV-99 (6),OBV Defensive Action (6),OBV Pass (6),Deep Progressions (6),Successful Dribbles (6),OBV Dribble & Carry (6),Tackle/Dribbled Past % (6),PAdj Tackles (6),PAdj Interceptions (6),PAdj Tackles & Interceptions (6),Pass Forward % (6),Turnovers (6),PAdj Pressures (6),Pressure Regains (6),Ball Recoveries (6),Average Distance (LB),Top 5 PSV-99 (LB),PAdj Tackles (LB),PAdj Interceptions (LB),OBV Defensive Action (LB),OBV Dribble & Carry (LB),Tackle/Dribbled Past (LB),Open Play xA (LB),Successful Crosses (LB),Dribbled Past (LB),Successful Dribbles (LB),Key Passes (LB),OBV Pass (LB),PAdj Tackles & Interceptions (LB),Aerial Win % (LB),Average Distance (RB),Top 5 PSV-99 (RB),PAdj Tackles (RB),PAdj Interceptions (RB),OBV Defensive Action (RB),OBV Dribble & Carry (RB),Tackle/Dribbled Past (RB),Open Play xA (RB),Successful Crosses (RB),Dribbled Past (RB),Successful Dribbles (RB),Key Passes (RB),OBV Pass (RB),PAdj Tackles & Interceptions (RB),Aerial Win % (RB),Average Distance (CB),Top 5 PSV-99 (CB),Aerial Win % (CB),Aerial Wins (CB),PAdj Interceptions (CB),PAdj Tackles (CB),OBV Pass (CB),OBV Dribble & Carry (CB),OBV Defensive Action (CB),Dribbled Past (CB),Deep Progressions (CB),PAdj Tackles & Interceptions (CB),Tackle / Dribbled Past % (CB),Blocks per Shot (CB),Pressure Change in Passing % (CB),xG (S9),Non-Penalty Goals (S9),Shots (S9),OBV Shot (S9),Open Play xA (S9),OBV Dribble & Carry (S9),PAdj Pressures (S9),Aerial Wins (S9),Aerial Win % (S9),Average Distance (S9),Top 5 PSV-99 (S9),Runs in Behind (S9),Threat of Runs in Behind (S9),xG (DW),Non-Penalty Goals (DW),Shots (DW),Open Play xA (DW),OBV Pass (DW),Successful Dribbles (DW),OBV Dribble & Carry (DW),Average Distance (DW),Top 5 PSV (DW),xG (CW),Non-Penalty Goals (CW),Shots (CW),Open Play xA (CW),OBV Pass (CW),Successful Dribbles (CW),OBV Dribble & Carry (CW),Average Distance (CW),Top 5 PSV (CW),xG (WF),Non-Penalty Goals (WF),Shots (WF),Open Play xA (WF),OBV Pass (WF),Successful Dribbles (WF),OBV Dribble & Carry (WF),Average Distance (WF),Top 5 PSV (WF),xG (C10),Non-Penalty Goals (C10),Shots (C10),OBV Pass (C10),Open Play xA (C10),Key Passes (C10),Successful Dribbles (C10),OBV Dribble & Carry (C10),Average Distance (C10),Top 5 PSV (C10),xG (R10),Non-Penalty Goals (R10),Shots (R10),Open Play xA (R10),OBV Pass (R10),Successful Dribbles (R10),OBV Dribble & Carry (R10),PAdj Pressures (R10),Pressure Regains (R10),HI Distance (R10),Average Distance (R10),Top 5 PSV (R10),PAdj Pressures (P8),Average Distance (P8),xG (P8),OBV Pass (P8),Successful Dribbles (P8),Open Play xA (P8),Top 5 PSV (P8),OBV Dribble & Carry (P8),Deep Progressions (P8),Average Distance (R8),xG (R8),OBV Pass (R8),Non-Penalty Goals (R8),Open Play xA (R8),Top 5 PSV (R8),OBV Dribble & Carry (R8),Deep Progressions (R8),PAdj Pressures (R8),Pressure Regains (R8),Average Distance (P6),Top 5 PSV-99 (P6),OBV Defensive Action (P6),Deep Progressions (P6),OBV Dribble & Carry (P6),PAdj Tackles & Interceptions (P6),OBV Pass (P6),Forward Pass % (P6),Average Distance (D6),Top 5 PSV-99 (D6),PAdj Pressures (D6),OBV Defensive Action (D6),Passing % (D6),Tackle / Dribbled Past % (D6),PAdj Tackles & Interceptions (D6),Ball Recoveries (D6),Open Play xA (DLB),PAdj Tackles (DLB),PAdj Interceptions (DLB),OBV Dribble & Carry (DLB),OBV Defensive Action (DLB),Tackle / Dribbled Past % (DLB),Average Distance (DLB),PAdj Pressures (DLB),Dribbled Past (DLB),Top 5 PSV-99 (DLB),Aerial Win % (DLB),Open Play xA (DRB),PAdj Tackles (DRB),PAdj Interceptions (DRB),OBV Dribble & Carry (DRB),OBV Defensive Action (DRB),Tackle / Dribbled Past % (DRB),Average Distance (DRB),PAdj Pressures (DRB),Dribbled Past (DRB),Top 5 PSV-99 (DRB),Aerial Win % (DRB),Average Distance (BCB),Top 5 PSV-99 (BCB),Aerial Wins (BCB),PAdj Interceptions (BCB),PAdj Tackles (BCB),OBV Pass (BCB),OBV Dribble & Carry (BCB),OBV Defensive Action (BCB),player_season_xgbuildup_90 Percentile,Deep Progressions (BCB),Pressured Change in Passing % (BCB),Average Distance (DCB),Top 5 PSV-99 (DCB),Aerial Wins (DCB),Aerial Win % (DCB),OBV Defensive Action (DCB),Tackle / Dribbled Past % (DCB),Blocks Per Shot (DCB),Market value,Market value (millions),player_name,name_in_home_country,place_of_birth,height,citizenship,position,foot,player_agent,current_club,joined,Contract expires,instagram,player_valuation,max_player_valuation,max_player_valuation_date,URL,date_of_birth,last_contract_extension,twitter,contract_option,na,full_name,outfitter,on_loan_from,contract_there_expires,website,x2nd_club,facebook
667,Damien Da Silva,36,Clermont Foot,Ligue 2,2024/2025,Right Centre Back,4386,Ball Playing Centre Back,49.71,,,,,,,,,,,,1.63,756.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,29.0,63.0,10.0,16.0,65.0,87.0,18.0,49.0,87.0,5.0,,,,,,,,0.0,0.0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
668,Moustapha Mbow,24,Paris FC,Ligue 2,2024/2025,Right Centre Back,121294,Ball Playing Centre Back,49.58,,,,,,,,,,,,20.4,701.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,22.0,47.0,94.0,97.0,10.0,83.0,17.0,64.0,31.0,53.0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
669,Jérémy Jacquet,19,Clermont Foot,Ligue 2,2024/2025,Left Centre Back,394982,Ball Playing Centre Back,48.35,,,,,,,,,,,,16.49,578.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,28.0,23.0,69.0,84.0,51.0,99.0,52.0,52.0,77.0,4.0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
670,Daylam Meddah,22,Caen,Ligue 2,2024/2025,Right Centre Back,61810,Ball Playing Centre Back,47.12,,,,,,,,,,,,10.26,284.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,1.0,18.0,47.0,40.0,95.0,59.0,2.0,76.0,67.0,83.0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
671,Kouadio Guy Ange Ahoussou,20,Pau,Ligue 2,2024/2025,Right Centre Back,304639,Ball Playing Centre Back,46.58,,,,,,,,,,,,84.17,697.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,13.0,35.0,32.0,43.0,29.0,87.0,97.0,68.0,25.0,19.0,,,,,,,,1000000.0,1.0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
672,Josué Escartin,21,Red Star FC,Ligue 2,2024/2025,Right Centre Back,304779,Ball Playing Centre Back,46.55,,,,,,,,,,,,14.1,540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,22.0,40.0,72.0,76.0,45.0,68.0,99.0,20.0,75.0,64.0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
673,Romain Thomas,36,Caen,Ligue 2,2024/2025,Left Centre Back,3549,Ball Playing Centre Back,43.96,,,,,,,,,,,,89.57,790.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,3.0,31.0,57.0,71.0,61.0,3.0,27.0,46.0,44.0,31.0,,,,,,,,,,Thomas Santos,Thomas Santos Christensen,,1.78,Denmark Brazil,Midfield - Right Midfield,both,,IFK Göteborg,2023-07-07,2026,,,,,https://www.transfermarkt.com/thomas-santos/profil/spieler/523476,1998-10-10,,,,,,,,,,,
675,Clément Vidal,24,AC Ajaccio,Ligue 2,2024/2025,Left Centre Back,33210,Ball Playing Centre Back,43.06,,,,,,,,,,,,4.58,430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,16.0,75.0,1.0,8.0,78.0,89.0,35.0,25.0,81.0,54.0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
676,Jean Ruiz,26,Pau,Ligue 2,2024/2025,Left Centre Back,7238,Ball Playing Centre Back,42.62,,,,,,,,,,,,87.75,492.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,8.0,41.0,61.0,40.0,35.0,65.0,22.0,83.0,30.0,28.0,,,,,,,,500000.0,0.5,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
677,Sohaib Nair,22,Guingamp,Ligue 2,2024/2025,Left Centre Back,422014,Ball Playing Centre Back,42.62,,,,,,,,,,,,14.39,473.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,42.0,89.0,59.0,50.0,73.0,2.0,34.0,43.0,47.0,57.0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
678,Christ-Owen Kouassi Bathele,21,Laval,Ligue 2,2024/2025,Right Centre Back,440058,Ball Playing Centre Back,41.98,,,,,,,,,,,,15.84,745.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,36.0,45.0,19.0,42.0,79.0,61.0,63.0,15.0,70.0,2.0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
679,Peter Ouaneh,26,Laval,Ligue 2,2024/2025,Left Centre Back,24991,Ball Playing Centre Back,40.68,,,,,,,,,,,,23.53,583.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,40.0,22.0,66.0,76.0,37.0,63.0,35.0,18.0,35.0,84.0,,,,,,,,,,Peter Abrahamsson,Peter Anders Abrahamsson,Jörlanda,1.9,Sweden,Goalkeeper,,,BK Häcken,2014-01-08,2025,,,,,https://www.transfermarkt.com/peter-abrahamsson/profil/spieler/62147,1988-07-18,"Sep 25, 2023",,,,,,,,,,
681,Bissenty Mendy,33,Red Star FC,Ligue 2,2024/2025,Centre Back,49191,Ball Playing Centre Back,40.59,,,,,,,,,,,,9.43,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,26.0,77.0,86.0,21.0,43.0,26.0,20.0,66.0,20.0,47.0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
682,Pierre Lemonnier,31,Guingamp,Ligue 2,2024/2025,Left Centre Back,28356,Ball Playing Centre Back,40.18,,,,,,,,,,,,13.48,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,11.0,26.0,98.0,31.0,50.0,93.0,13.0,81.0,79.0,8.0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
683,Leandro Morante,27,Martigues,Ligue 2,2024/2025,Right Centre Back,47232,Ball Playing Centre Back,39.86,,,,,,,,,,,,11.51,643.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,9.0,60.0,22.0,1.0,74.0,42.0,71.0,1.0,17.0,87.0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
684,Nehemiah Fernandez-Veliz,19,Dunkerque,Ligue 2,2024/2025,Left Centre Back,167348,Ball Playing Centre Back,39.24,,,,,,,,,,,,23.23,272.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,3.0,10.0,100.0,99.0,81.0,70.0,92.0,33.0,99.0,10.0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
685,Adrien Monfray,33,Troyes,Ligue 2,2024/2025,Right Centre Back,7521,Ball Playing Centre Back,38.69,,,,,,,,,,,,9.04,393.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,20.0,85.0,5.0,79.0,75.0,63.0,67.0,39.0,60.0,3.0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
686,Bradley Danger,26,Red Star FC,Ligue 2,2024/2025,Right Centre Back,45088,Ball Playing Centre Back,37.71,,,,,,,,,,,,3.88,479.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,16.0,71.0,39.0,31.0,46.0,55.0,98.0,42.0,56.0,11.0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
687,Ahmad Toure Ngouyamsa Nounchil,23,Rodez,Ligue 2,2024/2025,Right Centre Back,42335,Ball Playing Centre Back,37.47,,,,,,,,,,,,17.53,301.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,63.0,51.0,27.0,95.0,41.0,80.0,1.0,44.0,88.0,56.0,,,,,,,,,,Ahmad Faqa,احمد فقا,Qamishli,,Sweden Syria,Defender - Centre-Back,,,AIK,2022-03-23,2026,,,,,https://www.transfermarkt.com/ahmad-faqa/profil/spieler/950400,2003-01-10,,,,,,,,,,,
688,Gustave Akueson,28,Bastia,Ligue 2,2024/2025,Right Centre Back,144507,Ball Playing Centre Back,35.67,,,,,,,,,,,,8.64,662.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,27.0,53.0,53.0,87.0,40.0,10.0,87.0,5.0,35.0,61.0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
689,Mohamed Jaouab,22,Amiens,Ligue 2,2024/2025,Left Centre Back,404556,Ball Playing Centre Back,34.92,,,,,,,,,,,,9.84,324.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,7.0,3.0,96.0,78.0,40.0,73.0,6.0,52.0,37.0,46.0,,,,,,,,,,Mohamed Bawa,,,,Sweden,Midfield,,,GAIS,2024-02-01,0,,,,,https://www.transfermarkt.com/mohamed-bawa/profil/spieler/1220226,2004-07-20,,,,,,,,,,,
690,Mamadou Fofana,26,Amiens,Ligue 2,2024/2025,Right Centre Back,10705,Ball Playing Centre Back,34.71,,,,,,,,,,,,15.64,728.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,78.0,1.0,21.0,53.0,42.0,57.0,86.0,6.0,19.0,60.0,,,,,,,,800000.0,0.8,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
691,Donatien Gomis,29,Guingamp,Ligue 2,2024/2025,Right Centre Back,91208,Ball Playing Centre Back,34.21,,,,,,,,,,,,9.03,295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,69.0,80.0,87.0,99.0,34.0,18.0,97.0,77.0,6.0,15.0,,,,,,,,0.0,0.0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
692,Xavier Laglais Kouassi,34,Pau,Ligue 2,2024/2025,Right Centre Back,28958,Ball Playing Centre Back,33.82,,,,,,,,,,,,7.38,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,4.0,4.0,86.0,17.0,9.0,74.0,1.0,75.0,22.0,99.0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
693,Jésah Mabepa Ayessa Ondze,24,AC Ajaccio,Ligue 2,2024/2025,Right Centre Back,422092,Ball Playing Centre Back,33.39,,,,,,,,,,,,9.09,696.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,44.0,16.0,12.0,35.0,24.0,12.0,98.0,24.0,15.0,82.0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
694,Loïc Kouagba,30,Red Star FC,Ligue 2,2024/2025,Left Centre Back,45042,Ball Playing Centre Back,32.96,,,,,,,,,,,,90.94,697.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,27.0,9.0,2.0,20.0,8.0,44.0,66.0,52.0,76.0,13.0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
695,Mehdi Jean Tahrat,34,Troyes,Ligue 2,2024/2025,Right Centre Back,3188,Ball Playing Centre Back,32.22,,,,,,,,,,,,9.2,297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,17.0,99.0,33.0,93.0,24.0,89.0,96.0,7.0,9.0,90.0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
